LotArea,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod,BsmtFinSF,TotalBsmtSF,Heating,CentralAir,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,YrSold,SalePrice
18494,Gilbert,Norm,1Fam,1Story,6,5,2005,2005,0,1324,GasA,Y,2,0,3,1,6,0,Attchd,Fin,2,430,2010,199500
3203,Blmngtn,Norm,TwnhsE,1Story,7,5,2006,2006,16,1145,GasA,Y,2,0,2,1,6,0,Attchd,Fin,2,437,2010,160000
3182,Blmngtn,Norm,TwnhsE,1Story,8,5,2004,2005,24,1256,GasA,Y,2,0,2,1,6,1,Attchd,Fin,2,430,2010,192000
13300,Gilbert,Norm,1Fam,SLvl,7,5,2004,2004,326,384,GasA,Y,2,1,3,1,7,1,BuiltIn,Fin,2,400,2010,184500
7851,Gilbert,Norm,1Fam,2Story,6,5,2002,2002,625,860,GasA,Y,2,1,4,1,8,2,BuiltIn,Fin,2,440,2010,216500
8577,Gilbert,Norm,1Fam,2Story,7,5,2004,2004,0,847,GasA,Y,2,1,3,1,7,1,BuiltIn,Fin,2,433,2010,185088
7750,Gilbert,Norm,1Fam,SLvl,7,5,2000,2000,250,384,GasA,Y,2,1,3,1,7,1,BuiltIn,Fin,2,400,2010,180000
9505,Gilbert,Norm,1Fam,2Story,7,5,2001,2001,0,884,GasA,Y,2,1,3,1,8,1,BuiltIn,Fin,2,434,2010,222500
14774,NoRidge,Norm,1Fam,2Story,9,5,1999,1999,0,1393,GasA,Y,2,1,4,1,10,1,BuiltIn,Fin,3,779,2010,333168
17433,NoRidge,Norm,1Fam,2Story,8,5,1998,1998,0,1629,GasA,Y,2,1,4,1,7,1,Attchd,Fin,3,962,2010,355000
10593,NoRidge,Norm,1Fam,1Story,7,5,1996,1996,919,1720,GasA,Y,2,0,3,1,7,1,Attchd,Fin,2,527,2010,260400
12256,NoRidge,Norm,1Fam,2Story,8,5,1994,1995,1032,1463,GasA,Y,2,1,3,1,9,2,Attchd,RFn,2,712,2010,325000
11764,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,524,1152,GasA,Y,2,1,4,1,9,1,Attchd,Fin,3,671,2010,290000
16770,NoRidge,Norm,1Fam,2Story,7,5,1998,1998,0,1195,GasA,Y,2,1,4,1,7,0,Attchd,Fin,2,486,2010,221000
14720,NoRidge,Norm,1Fam,1.5Fin,8,5,1995,1996,816,2033,GasA,Y,2,1,4,1,9,1,Attchd,Fin,3,666,2010,410000
8987,Somerst,Norm,1Fam,1Story,8,5,2005,2006,0,1595,GasA,Y,2,0,2,1,6,1,Attchd,RFn,3,880,2010,221500
9215,Somerst,Norm,1Fam,1Story,7,5,2009,2010,0,1218,GasA,Y,2,0,2,1,4,0,Attchd,RFn,2,676,2010,204500
8640,Somerst,Norm,1Fam,2Story,7,5,2009,2009,24,756,GasA,Y,2,1,3,1,7,0,Attchd,Unf,2,614,2010,215200
9000,Somerst,Norm,1Fam,1Story,8,5,2008,2008,1078,1566,GasA,Y,2,0,3,1,7,0,Attchd,RFn,2,750,2010,262500
12552,Somerst,Norm,1Fam,2Story,7,5,2004,2005,222,991,GasA,Y,2,1,3,1,8,1,Attchd,RFn,2,678,2010,254900
10440,Somerst,Norm,1Fam,1Story,6,5,2005,2005,1414,1468,GasA,Y,2,0,2,1,6,1,Attchd,Fin,2,528,2010,271500
10142,SawyerW,Norm,1Fam,2Story,7,5,2004,2004,656,956,GasA,Y,2,1,4,1,8,0,BuiltIn,RFn,2,618,2010,233000
11920,SawyerW,Norm,1Fam,2Story,7,5,2004,2004,0,831,GasA,Y,2,1,3,1,8,0,Attchd,RFn,2,484,2010,181000
8880,SawyerW,Norm,1Fam,2Story,7,5,1994,2002,695,948,GasA,Y,2,1,3,1,8,2,Attchd,RFn,2,463,2010,205000
8012,SawyerW,Norm,TwnhsE,1Story,6,5,1980,1980,543,923,GasA,Y,2,0,2,1,5,1,Attchd,RFn,1,264,2010,143000
11218,SawyerW,Norm,1Fam,2Story,6,5,1992,1992,0,1055,GasA,Y,2,1,3,1,8,1,Attchd,RFn,2,462,2010,189000
7892,SawyerW,Norm,TwnhsE,1Story,6,5,1979,1979,0,918,GasA,Y,2,0,2,1,5,1,Attchd,Unf,1,264,2010,99500
7175,SawyerW,Norm,TwnhsE,1Story,6,5,1984,1984,623,744,GasA,Y,1,0,2,1,4,0,Attchd,Unf,1,264,2010,125000
9453,SawyerW,RRNe,1Fam,2Story,7,7,1993,2003,402,996,GasA,Y,2,1,3,1,7,0,Attchd,RFn,2,457,2010,194500
9672,SawyerW,Norm,1Fam,1Story,6,5,1984,1985,338,1040,GasA,Y,2,0,3,1,6,0,Attchd,Unf,2,480,2010,152000
8400,SawyerW,Norm,1Fam,2Story,6,6,1980,1981,0,650,GasA,Y,2,1,3,1,7,1,Attchd,Unf,2,476,2010,171000
9800,SawyerW,Feedr,1Fam,1Story,5,5,1920,1950,0,816,GasA,N,1,0,2,1,5,0,Detchd,Unf,1,429,2010,67500
8930,Sawyer,RRAe,Duplex,1.5Fin,6,5,1978,1978,0,0,GasA,Y,2,0,4,2,8,0,Attchd,Unf,2,539,2010,112000
11782,Sawyer,Norm,1Fam,SFoyer,5,7,1961,1995,899,1109,GasA,Y,1,0,3,1,6,0,Detchd,Unf,2,576,2010,148000
8450,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,553,894,GasA,Y,1,0,3,1,5,1,Detchd,Unf,1,336,2010,138500
9819,Sawyer,Norm,1Fam,1Story,5,5,1967,1967,450,882,GasA,Y,1,0,3,1,5,0,Detchd,Unf,1,280,2010,122000
7500,Sawyer,Feedr,1Fam,1Story,5,5,1963,1963,824,1040,GasA,Y,1,1,3,1,5,0,Attchd,Fin,1,308,2010,133000
6897,Sawyer,Norm,1Fam,1Story,5,8,1962,2010,659,1040,GasA,Y,1,1,3,1,6,0,Detchd,Unf,1,260,2010,127000
15410,Sawyer,RRNe,1Fam,1Story,6,6,1974,2002,126,1208,GasA,Y,2,0,3,1,7,2,Attchd,Fin,2,461,2010,169000
10186,NoRidge,Norm,1Fam,2Story,7,5,1992,1992,674,750,GasA,Y,2,1,3,1,8,1,Attchd,RFn,2,564,2010,190000
13143,NoRidge,Norm,1Fam,2Story,8,5,1993,1993,250,1231,GasA,Y,2,1,4,1,9,1,Attchd,RFn,3,762,2010,362500
11134,NoRidge,Norm,1Fam,2Story,8,5,1992,1993,1129,1390,GasA,Y,2,1,4,1,7,1,Attchd,RFn,3,713,2010,285000
4835,Somerst,Norm,TwnhsE,1Story,7,5,2004,2005,1298,1488,GasA,Y,2,0,2,1,6,1,Attchd,Fin,2,506,2010,260000
3515,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,0,840,GasA,Y,2,1,2,1,3,0,Attchd,RFn,2,588,2010,190000
3215,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,280,600,GasA,Y,2,1,2,1,4,0,Detchd,RFn,2,480,2010,155000
3182,Somerst,Norm,TwnhsE,2Story,7,5,2004,2005,0,600,GasA,Y,2,1,2,1,4,0,Detchd,RFn,2,480,2010,151000
2544,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,368,600,GasA,Y,2,1,2,1,4,0,Detchd,RFn,2,480,2010,149500
2544,Somerst,Norm,Twnhs,2Story,6,5,2005,2005,376,600,GasA,Y,2,1,2,1,4,0,Detchd,RFn,2,480,2010,152000
4403,Somerst,Norm,1Fam,1Story,7,5,2009,2009,578,1470,GasA,Y,2,1,2,1,7,1,Attchd,Fin,2,484,2010,222000
2117,Somerst,Norm,Twnhs,2Story,6,5,2000,2000,378,756,GasA,Y,2,1,3,1,5,0,Detchd,Unf,2,440,2010,177500
2980,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,466,756,GasA,Y,2,1,2,1,5,0,Detchd,Unf,2,440,2010,177000
2572,Somerst,Norm,Twnhs,2Story,7,5,1999,1999,604,696,GasA,Y,2,1,3,1,6,0,Detchd,Unf,2,484,2010,155000
2403,Somerst,Norm,TwnhsE,2Story,7,5,2003,2003,244,530,GasA,Y,2,1,2,1,4,0,Attchd,RFn,2,496,2010,147110
12853,Somerst,Norm,1Fam,1Story,8,5,2010,2010,1032,1642,GasA,Y,1,1,1,1,6,1,Attchd,RFn,3,852,2010,267916
7379,Somerst,Norm,1Fam,2Story,8,5,2000,2000,484,975,GasA,Y,2,1,3,1,7,1,Attchd,RFn,2,592,2010,254000
4420,Greens,Norm,TwnhsE,1Story,8,5,1980,1980,728,728,GasA,Y,1,0,1,1,3,1,Detchd,Fin,2,484,2010,155000
3880,Greens,Norm,Twnhs,1Story,8,6,1978,1978,1052,1226,GasA,Y,1,0,1,1,4,1,Attchd,Fin,2,484,2010,206000
13517,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,533,725,GasA,Y,2,1,3,1,6,0,Attchd,RFn,2,475,2010,130500
8000,Somerst,Norm,1Fam,1Story,7,5,2002,2002,833,1492,GasA,Y,2,0,3,1,6,1,Attchd,RFn,2,596,2010,230000
10456,NWAmes,Norm,1Fam,1Story,6,6,1967,1967,506,1829,GasA,Y,2,0,4,1,8,0,Attchd,RFn,2,535,2010,218500
10791,NWAmes,Norm,1Fam,2Story,6,5,1993,1993,1137,1280,GasA,Y,2,1,4,1,9,1,Attchd,Unf,2,660,2010,243500
10603,NWAmes,Norm,1Fam,1Story,6,7,1977,2001,1200,1610,GasA,Y,2,0,3,1,6,2,Attchd,RFn,2,480,2010,205000
18837,NWAmes,Norm,1Fam,1.5Fin,6,5,1978,1978,687,1224,GasA,Y,3,0,3,1,7,1,Attchd,RFn,2,678,2010,212500
10421,NWAmes,Norm,1Fam,2Story,7,5,1988,1988,394,980,GasA,Y,2,1,3,1,7,1,Attchd,Unf,2,496,2010,196500
9360,NWAmes,Norm,1Fam,1Story,6,7,1972,2006,982,1161,GasA,Y,1,1,3,1,5,1,Attchd,RFn,2,676,2010,197500
9600,NWAmes,Norm,1Fam,2Story,6,6,1971,1971,329,715,GasA,Y,1,2,4,1,7,0,Attchd,RFn,2,441,2010,171000
9600,NAmes,Norm,1Fam,1Story,5,5,1966,1966,698,1232,GasA,Y,1,1,3,1,6,0,Attchd,RFn,2,490,2010,142250
9790,NWAmes,Feedr,1Fam,1Story,6,5,1963,1963,569,1328,GasA,Y,1,1,3,1,6,2,Attchd,Unf,2,528,2010,143000
9320,NAmes,Norm,1Fam,1Story,4,5,1959,1959,569,950,GasA,Y,1,1,3,1,6,0,NA,NA,0,0,2010,128950
9900,NAmes,Norm,1Fam,1Story,5,5,1966,1966,1059,1209,GasA,Y,1,0,3,1,6,0,Attchd,RFn,2,504,2010,159000
9680,NAmes,Norm,1Fam,1Story,5,6,1967,1967,1010,1510,GasA,Y,2,0,3,1,6,0,Attchd,RFn,2,517,2010,178900
10600,NAmes,Norm,1Fam,SLvl,6,5,1964,1964,0,533,GasA,Y,2,0,3,1,8,0,Attchd,Unf,2,480,2010,136300
14112,NAmes,Norm,1Fam,SLvl,5,7,1964,1964,1014,1152,GasA,Y,1,0,3,1,6,1,Attchd,RFn,2,484,2010,180500
8800,NAmes,Feedr,1Fam,SFoyer,6,7,1963,1963,763,936,GasA,Y,1,0,3,1,6,0,Attchd,RFn,2,480,2010,137500
13260,NAmes,Norm,Duplex,1Story,5,6,1962,2001,1500,1728,GasA,Y,2,0,6,2,10,0,NA,NA,0,0,2010,84900
9717,NAmes,Norm,1Fam,1Story,5,6,1950,1996,49,1078,GasA,Y,1,0,2,1,5,0,Attchd,Unf,1,240,2010,142125
9724,NAmes,Norm,1Fam,1.5Fin,5,7,1952,2002,670,1140,GasA,Y,2,0,3,1,7,2,Detchd,Unf,2,400,2010,197600
17360,NAmes,Artery,1Fam,1.5Fin,6,6,1949,1950,300,782,GasA,Y,2,0,3,1,6,1,Attchd,Unf,2,470,2010,172500
7207,BrkSide,Norm,1Fam,1Story,5,7,1958,2008,696,858,GasA,Y,1,0,2,1,4,0,NA,NA,0,0,2010,116500
5350,BrkSide,Norm,1Fam,1Story,3,2,1940,1966,0,728,GasA,Y,1,0,3,1,6,0,NA,NA,0,0,2010,76500
9920,NAmes,Norm,1Fam,1Story,5,5,1954,1954,354,1056,GasA,Y,1,0,3,1,6,0,Attchd,RFn,1,280,2010,128000
9600,NAmes,Norm,1Fam,SLvl,6,6,1955,1972,674,1156,GasA,Y,1,0,3,1,7,2,Basment,RFn,1,364,2010,153000
7800,NAmes,Norm,1Fam,1Story,5,6,1954,1954,540,1268,GasA,Y,1,0,2,1,7,1,Attchd,Fin,1,244,2010,132000
11380,NAmes,Norm,1Fam,SFoyer,6,8,1966,2008,944,1080,GasA,Y,1,0,2,1,5,1,Attchd,Unf,1,315,2010,178000
11600,NAmes,Feedr,Duplex,2Story,5,5,1960,1960,443,1105,GasA,Y,2,0,5,2,12,0,Detchd,Unf,2,480,2010,154300
19900,NAmes,PosA,1Fam,1Story,7,5,1970,1989,912,1947,GasA,Y,2,0,3,1,7,1,Attchd,RFn,2,576,2010,180000
16492,NAmes,PosA,1Fam,1Story,6,6,1966,2002,247,1517,GasA,Y,2,1,2,1,6,1,Attchd,Fin,2,578,2010,190000
8267,NAmes,Feedr,Duplex,1Story,5,5,1958,1958,0,1604,GasA,Y,2,0,4,2,8,0,Attchd,Unf,2,576,2010,135000
8197,NAmes,Norm,1Fam,1Story,7,5,2003,2009,1188,1480,GasA,Y,2,0,3,1,7,0,Attchd,RFn,2,620,2010,214000
8050,NAmes,Norm,1Fam,1Story,5,5,1959,1959,856,1143,GasA,Y,1,0,3,1,6,0,Attchd,RFn,1,308,2010,136000
10552,NAmes,Norm,1Fam,1Story,5,5,1959,1959,1018,1398,GasA,Y,1,1,4,1,6,1,Attchd,RFn,2,447,2010,165500
8400,NAmes,Norm,1Fam,1Story,5,6,1957,1957,922,1314,GasA,Y,1,0,3,1,5,0,Attchd,RFn,1,294,2010,145000
8760,NAmes,Norm,1Fam,1Story,6,6,1959,1959,0,1194,GasA,Y,1,0,3,1,6,0,Attchd,RFn,1,312,2010,148000
12160,NAmes,Norm,1Fam,1Story,5,5,1959,1959,1000,1188,GasA,Y,1,0,3,1,6,0,Attchd,RFn,2,531,2010,142000
9300,NAmes,Feedr,1Fam,1Story,5,5,1960,1960,697,1268,GasA,Y,1,0,3,1,6,2,Attchd,Unf,2,461,2010,167500
10725,NAmes,Norm,1Fam,1Story,5,5,1959,1959,936,1206,GasA,Y,1,0,3,1,6,0,Attchd,RFn,1,312,2010,108538
10032,NAmes,Norm,1Fam,1Story,6,5,1959,1959,734,1244,GasA,Y,1,1,3,1,6,2,Attchd,Unf,2,440,2010,159500
8382,NAmes,Norm,1Fam,1.5Fin,4,5,1956,1956,0,832,GasA,Y,1,0,3,1,5,0,Attchd,Unf,1,263,2010,108000
10950,NAmes,Norm,1Fam,1Story,5,7,1952,1952,339,864,GasA,Y,1,0,2,1,4,0,Detchd,Unf,1,318,2010,135000
10895,NAmes,Norm,1Fam,1Story,5,6,1955,1955,648,972,GasA,Y,1,0,3,1,5,0,Attchd,Unf,1,305,2010,122500
13587,NAmes,Norm,2fmCon,1Story,5,5,1958,1958,532,988,GasA,Y,1,0,2,1,5,0,Attchd,Unf,1,264,2010,119000
7922,NAmes,Norm,1Fam,1Story,5,7,1953,2007,731,1057,GasA,Y,1,0,3,1,5,0,Detchd,Unf,1,246,2010,109000
7898,NAmes,Norm,1Fam,1Story,4,7,1920,1994,0,576,GasA,Y,1,0,2,1,4,0,Detchd,Unf,2,676,2010,105000
7200,NAmes,Norm,1Fam,1Story,5,7,1955,2007,0,0,GasA,Y,1,0,2,1,5,1,Detchd,Unf,1,392,2010,107500
10200,NAmes,Norm,1Fam,1Story,5,7,1954,2003,320,1086,GasA,Y,1,0,3,1,6,0,Attchd,Unf,2,490,2010,144900
5868,NAmes,Norm,1Fam,1Story,5,7,1956,2000,248,936,GasA,Y,1,0,2,1,4,0,Attchd,Fin,1,308,2010,129000
17503,NAmes,Artery,1Fam,1.5Fin,6,5,1948,1950,0,912,GasA,Y,1,0,3,1,6,1,Attchd,Unf,1,330,2010,97500
6979,OldTown,Norm,Duplex,SFoyer,6,5,1980,1980,1056,1056,GasA,Y,0,0,0,2,4,0,Detchd,Unf,2,576,2010,144000
9830,NAmes,Norm,1Fam,1Story,5,7,1959,2006,72,1063,GasA,Y,1,0,3,1,7,1,Detchd,Fin,2,576,2010,162000
11275,NAmes,PosN,1Fam,SLvl,7,7,1967,2007,0,710,GasA,Y,2,1,5,1,11,1,BuiltIn,Fin,2,564,2010,242000
8064,NAmes,Artery,1Fam,1.5Fin,6,8,1948,2004,481,816,GasA,Y,1,0,3,1,5,0,Detchd,Unf,1,280,2010,132000
7500,NAmes,Norm,1Fam,1Story,5,7,1959,1994,340,1246,GasA,Y,1,1,3,1,6,0,Attchd,RFn,1,305,2010,154000
8520,NAmes,Artery,1Fam,1.5Fin,5,4,1952,1952,507,910,GasA,Y,2,0,4,1,6,0,Detchd,Unf,2,720,2010,166000
7200,NAmes,Norm,1Fam,1Story,5,7,1951,2000,234,900,GasA,Y,1,0,3,1,5,0,Detchd,Unf,2,576,2010,134800
10000,NAmes,Norm,1Fam,1Story,6,6,1962,1962,0,1116,GasA,Y,1,1,3,1,5,0,Attchd,Unf,2,440,2010,160000
7635,NAmes,Norm,1Fam,1Story,5,6,1960,1960,588,1175,GasA,Y,1,1,3,1,6,0,Detchd,RFn,2,484,2010,148000
9760,NAmes,Norm,1Fam,1Story,6,7,1963,1984,717,1395,GasA,Y,1,0,2,1,7,1,Attchd,RFn,2,440,2010,192000
7700,NAmes,PosN,1Fam,2Story,6,5,1966,1966,0,756,GasA,Y,1,1,4,1,7,1,Attchd,Unf,2,442,2010,155000
4800,OldTown,Norm,1Fam,1.5Fin,4,5,1900,1954,48,709,GasA,Y,1,0,3,1,9,2,Basment,Unf,1,240,2010,80400
8800,OldTown,Norm,1Fam,1.5Fin,4,7,1910,2004,0,576,GasA,Y,1,0,3,1,7,0,NA,NA,0,0,2010,96500
4485,OldTown,Artery,1Fam,1Story,5,7,1920,1950,579,936,GasA,Y,1,0,2,1,5,1,NA,NA,0,0,2010,109500
8960,OldTown,Artery,1Fam,1Story,5,6,1927,1950,0,1008,GasA,Y,1,0,2,1,5,1,Detchd,Unf,2,360,2010,115000
5805,OldTown,Norm,1Fam,1Story,5,7,1957,1957,274,1347,GasA,Y,1,0,3,1,6,0,Detchd,Unf,2,551,2010,143000
5790,OldTown,Norm,1Fam,2Story,3,6,1915,1950,0,840,GasA,N,2,0,3,2,8,0,Detchd,Unf,1,379,2010,107400
4608,OldTown,Artery,1Fam,1Story,4,6,1945,1950,0,747,GasA,Y,1,0,2,1,4,0,Attchd,Unf,1,220,2010,80000
7200,OldTown,Norm,1Fam,1Story,5,7,1940,1992,510,788,GasA,Y,1,0,2,1,4,2,Attchd,Unf,1,240,2010,119000
5500,OldTown,Norm,1Fam,1.5Fin,5,7,1929,2001,234,926,GasA,Y,1,0,3,1,6,0,Detchd,Unf,2,484,2010,130000
6900,OldTown,Norm,1Fam,1.5Fin,6,7,1938,2000,0,827,GasA,Y,1,0,3,1,6,0,Detchd,Unf,1,240,2010,119000
11851,OldTown,Artery,1Fam,1.5Fin,5,7,1948,2009,780,1027,GasA,Y,1,0,3,1,7,1,Detchd,Unf,1,240,2010,129000
8239,OldTown,Artery,1Fam,1.5Fin,5,6,1920,1962,176,1008,GasA,Y,1,0,3,1,6,0,Detchd,Unf,1,315,2010,100000
9656,OldTown,Norm,1Fam,1Story,2,2,1923,1970,0,678,GasA,N,1,0,2,1,5,1,Detchd,Unf,2,780,2010,12789
